experimento,hilo,tiempo_obtener_logger_ns,timestamp_ns,mensaje,tiempo_escritura_ns,tiempo_total_registro_ns
9,2,622700,,,TOTAL,,34282800
9,3,550000,,,TOTAL,,30886300
9,4,455200,,,TOTAL,,34106000
10,1,572600,848000204174600,0,21836900,
10,2,568300,848000204505500,0,22120500,
10,4,400500,848000204844800,0,22503900,
10,3,470200,848000205200100,0,22839700,
10,1,572600,848000205453000,1,436800,
10,2,568300,848000205698800,1,681500,
10,2,568300,848000206022400,2,321300,
10,4,400500,848000206339600,1,1321400,
10,2,568300,848000206576200,3,551500,
10,1,572600,848000206802800,2,1347400,
10,3,470200,848000206992700,1,1788500,
10,1,572600,848000207201300,3,395800,
10,2,568300,848000207542000,4,963000,
10,2,568300,848000207869200,5,324800,
10,4,400500,848000208084700,2,1742400,
10,2,568300,848000208315200,6,443500,
10,1,572600,848000208555600,4,1352400,
10,3,470200,848000208781600,2,1786500,
10,1,572600,848000209085400,5,527100,
10,2,568300,848000209339700,7,1022700,
10,4,400500,848000209587400,3,1500400,
10,2,568300,848000209815500,8,473200,
10,1,572600,848000210054400,6,966400,
10,3,470200,848000210320700,3,1536800,
10,1,572600,848000210541700,7,484900,
10,2,568300,848000210802100,9,984100,
10,4,400500,848000211073400,4,1483600,
10,2,568300,848000211276300,10,471500,
10,1,572600,848000211513600,8,970000,
10,3,470200,848000211853700,4,1530600,
10,1,572600,848000212074500,9,558200,
10,2,568300,848000212296000,11,1004700,
10,4,400500,848000212533000,5,1457100,
10,2,568300,848000212840700,12,542200,
10,1,572600,848000213058800,10,981900,
10,3,470200,848000213281200,5,1425000,
10,1,572600,848000213515300,11,446100,
10,2,568300,848000213736000,13,893500,
10,2,568300,848000213980600,14,242800,
10,4,400500,848000214256300,6,1721100,
10,1,572600,848000214513000,12,995200,
10,1,572600,848000214699100,13,184100,
10,3,470200,848000214891500,6,1607900,
10,1,572600,848000215076300,14,375200,
10,4,400500,848000215317700,7,1059500,
10,3,470200,848000215506600,7,612800,
10,4,400500,848000215702700,8,382400,
10,3,470200,848000215912000,8,403100,
10,3,470200,848000216103400,9,189700,
10,4,400500,848000216285700,9,580700,
10,4,400500,848000216443600,10,156100,
10,3,470200,848000216632900,10,527700,
10,4,400500,848000216869900,11,408100,
10,3,470200,848000217073400,11,427200,
10,4,400500,848000217305200,12,432700,
10,3,470200,848000217530500,12,419200,
10,4,400500,848000217756200,13,447300,
10,3,470200,848000217992700,13,459900,
10,3,470200,848000218206300,14,211900,
10,4,400500,848000218475400,14,716800,
